O-number,Type,Setup Location,Position X,Position Y,Orientation,Secondary Orientation,Wavelength,Beam Path,Cleaning Status,Cleaning Comment,Placement Status,Optomechanics Status,Optomech Comments,Final Status,Comment on Status
88,iris,Breadboard,16,24,45,,671,Cs MOT,Broken,,TRUE,,,,Replaced with O-514
89,camera,Breadboard,3,32,-90,,,OTOP,Broken,,FALSE,,,,
90,mirror,Breadboard,17.3,9.7,180,,,,Clean,,FALSE,,,,
91,dichroic mirror,Breadboard,19,25,90,,N/A,"Cs MOT, Li MOT, Li Repump",Clean,,FALSE,,,,
92,lens,Breadboard,5,33,90,,,OTOP,,,TRUE,Works [KEEP],,,
93,mirror,Breadboard,18.05,26.05,90,,852,Cs MOT,Clean,,TRUE,Works [KEEP],,,
94.1,chamber port,Breadboard,24,24,-90,,,"Cs Zeeman, Li Zeeman",Clean,,FALSE,,,,
94.2,chamber port,Breadboard,21,33,-135,,N/A,"Li Repump, Li MOT, Li EOM, Cs MOT, Cs H Imaging, RSC, Cs V Optical Pump, Li H Imaging",Clean,,FALSE,,,,
94.3,chamber port,Breadboard,20,36,180,,N/A,"Dual Color, BFL, OTOP",Clean,,FALSE,,,,
94.4,chamber port,Breadboard,21,39,135,,N/A,"Li Repump, Li MOT, Cs MOT, Cs (H) Optical Pump, RSC, Cs V Optical Pump",Clean,,FALSE,,,,
94.5,chamber port,Breadboard,28,36,0,,N/A,"Dual Color, BFL, OTOP",Clean,,FALSE,,,,
94.6,chamber port,Breadboard,27,39,45,,N/A,"Li Repump, Li MOT, Li EOM, Cs MOT, Cs H Imaging, RSC, Cs V Optical Pump, Li H Imaging",Clean,,FALSE,,,,
94.7,chamber port,Breadboard,34,26,-45,,N/A,"Li Repump, Li MOT, Cs MOT, Cs (H) Optical Pump, RSC, Cs V Optical Pump",Clean,,FALSE,,,,
94.8,chamber port,Breadboard,35,28,0,,,,Cleaning,,FALSE,,,,
94.9,chamber port,Breadboard,34,30,45,,,,Clean,,FALSE,,,,
95,mirror,Breadboard,26,22,-90,,,"RSC, Cs V Optical Pump",,,FALSE,,,,
96,dump,Breadboard,1.5,36,0,,,OTOP,N/A,,FALSE,,,,
97,mirror,Breadboard,5,36.1,-45,,,OTOP,Clean-ish,Water spots on one side,TRUE,Works [KEEP],bottom knob slighty rusted,,
98,mirror,Breadboard,19.5,23.5,-112.5,,852,Cs MOT,,,FALSE,,,Re-labeled,Re-labeled a new mirror as O-98. 
99,mirror,Breadboard,22.3,16.3,180,,,"RSC, Cs V Optical Pump",,,FALSE,,,,
100,empty,Breadboard,,,,,,,Cleaning,,TRUE,Works [KEEP],,,
101,dichroic mirror,Breadboard,2.5,46,-30,,,,,,FALSE,,,,
102,small mirror,Breadboard,0,46,-45,,,,Clean,,FALSE,,,,
103,quadrant detector sensor head,Breadboard,12,40.5,160,,,,N/A,,FALSE,,,,
104,mirror,Breadboard,7.9,22.9,-90,,,Cs MOT,Clean,,TRUE,Works [KEEP],,,
105,mirror,Breadboard,18.8,9.2,180,,,Li MOT,Clean,,TRUE,Check again,It does look a bit rusty though so maybe replace?,,
106,lens,Breadboard,25.7,18.3,135,,N/A,"Li Repump, Li MOT, Cs MOT",Cleaning,,FALSE,,,,
107,mirror,Breadboard,37,23,180,,N/A,"Li Repump, Li MOT, Cs MOT",Broken,,FALSE,,,,
108,empty,Breadboard,,,,,,,,,FALSE,,,,
109,mirror,Breadboard,14,8,0,,,"RSC, Cs V Optical Pump",Clean,,TRUE,Works [KEEP],,,
110,RSC laser,Breadboard,14,10,45,,,,Broken,,TRUE,Broken [REPLACE],knobs,Needs Replacement,
111,PBS,Breadboard,17,13,45,,852,RSC,Clean,,FALSE,,,,
112,waveplate,Breadboard,17.6,13.6,45,118,852,RSC,Broken,,TRUE,Works [KEEP],Optomechanics work but the optic was dirty even though it had been placed!,,
113,iris,Breadboard,21.5,19.5,135,,852,"Cs V Optical Pump, RSC",Broken,,FALSE,,,,
114.1,PBS,Breadboard,21.3,17.3,45,,852,"Cs V Optical Pump, RSC",Clean,,TRUE,Works [KEEP],,All good,"The PBS itslef is fine, but the beampath that goes to mirror O-99 is obstructed by the zeman beampath mounts. "
114.2,waveplate,Breadboard,21.9,17.9,45,310,852,"Cs V Optical Pump, RSC",Clean,,TRUE,Works [KEEP],,All good,
115,waveplate,Breadboard,25.5,21.5,45,240,852,"Cs V Optical Pump, RSC",Clean,,TRUE,Works [KEEP],,,
116,Cs V Optical Pump,Breadboard,11.5,9.5,45,,,,,,TRUE,Broken [REPLACE],knobs,,
117,iris,Breadboard,14,12,45,,852,Cs V Optical Pump,Broken,,FALSE,,,,
118,waveplate,Breadboard,15.4,13.4,45,72,852,Cs V Optical Pump,Clean,,TRUE,Works [KEEP],,,
119,quadrant mirror,Breadboard,20.3,18.3,-90,,852,Cs V Optical Pump,Clean,,TRUE,Works [KEEP],,,
120,quadrant mirror,Breadboard,37,24.5,180,,,"RSC, Cs V Optical Pump",Clean,,TRUE,Broken [REPLACE],knobs (bottom),,
121,mirror,Breadboard,15.5,25.5,5,,852,"Cs V Optical Pump, RSC",Clean,,TRUE,Works [KEEP],,,
122,waveplate,Breadboard,44.5,30,-90,46,,BFL,Clean,,TRUE,Works [KEEP],,,
123,waveplate,Breadboard,36,20.5,90,102,852,Cs (H) Optical Pump,Broken,,TRUE,Works [KEEP],,,
124,waveplate,Breadboard,36,18.5,90,269???,852,Cs (H) Optical Pump,Clean,,TRUE,Works [KEEP],,,
125,empty,Breadboard,,,,,,,Cleaning,,FALSE,,,,
126,PBS,Breadboard,36,19.5,90,,852,Cs (H) Optical Pump,Broken,,FALSE,,,,
127,Cs H Optical Pump,Breadboard,36,17,90,,,Cs (H) Optical Pump,Broken,Too small to clean,FALSE,Broken [REPLACE],knobs,,C230TME-B. Replaced by O-528.
128,dump,Breadboard,41,30.5,90,,,OTOP,N/A,,FALSE,,,,
129,dichroic mirror,Breadboard,43,55,-135,,N/A,Dual Color,Cleaning,,FALSE,,,,
130,AOM,Breadboard,47,66,90,,,BFL,,,FALSE,,,,
131,empty,Breadboard,,,,,,,Clean,,TRUE,Works [KEEP],,,
132,Big Reg Chamber,Breadboard,,8,,,,,,,FALSE,,,,
133,lens,Breadboard,47,68.5,90,,,BFL,Cleaning,,TRUE,Check again,A little bit rusted but still works,,
134,flat PBS,Breadboard,44.5,35.4,-135,,,BFL,Cleaning,,FALSE,,,,
135,PBS,Breadboard,41,36,90,,N/A,"Dual Color, OTOP",Clean-ish,,TRUE,Check again,A little rusted but works,,
136,filter,Breadboard,38,36,180,,N/A,"Dual Color, OTOP",Clean,,FALSE,,,,"Originally marked as a lens, upon inspection looks like a very weak ND filter. Have NO IDEA why this would be here but leaving it for the time being..."
137,3-hole tube,Breadboard,32,36,0,,N/A,"Dual Color, BFL, OTOP",Cleaning,,FALSE,,,,
138,lens tube,Breadboard,47,73.75,90,,,BFL,,,FALSE,,,,
139,mirror,Breadboard,44.5,36.6,-135,,,BFL,Cleaning,,FALSE,,,,
140,convex rectangular lens,Breadboard,41,43,90,,,OTOP,Clean-ish,,FALSE,,,,"In Lics Cupboard, f~142mm"
141,lens,Breadboard,47,78,90,,,BFL,Cleaning,,FALSE,,,,
142,lens,Breadboard,43,40.5,90,,N/A,Dual Color,Cleaning,,FALSE,,,Needs Replacement,"not clean. 1'', f = 15.0 cm"
143,lens tube,Breadboard,45,43,90,,,,,,FALSE,,,,
144,lens,Breadboard,43,46,90,,N/A,Dual Color,Cleaning,,FALSE,,,Needs Replacement,"not clean. 1/2'', f = -15mm"
145,lens,Breadboard,43,47,90,,N/A,Dual Color,Cleaning,,FALSE,,,,"not clean. 1/2'', f = -25mm"
146,convex rectangular lens,Breadboard,41,46,-90,,,OTOP,Clean-ish,,FALSE,,,Needs Replacement,"In Lics Cupboard, f~40mm"
147,small breadboard,Breadboard,,8,,,,,,,FALSE,,,,
148,Dual Color Laser,Breadboard,36,55,0,,,,Broken,,TRUE,Works [KEEP],,,
149,mirror,Breadboard,30,18,90,,,"RSC, Cs V Optical Pump",,,FALSE,,,,
150,BFL laser,Breadboard,47,79,-90,,,,N/A,,FALSE,,,,
151,mirror,Breadboard,45.5,72,135,,,OTOP,Clean,,TRUE,Works [KEEP],,,
152,double waveplate,Breadboard,43,72,0,"270, 140",,OTOP,Clean,,TRUE,Works [KEEP],,,
153,AOM,Breadboard,41.5,72,180,,,OTOP,,,FALSE,,,,
154,lens,Breadboard,40.5,72,0,,,OTOP,,,TRUE,Works [KEEP],,,
155,lens,Breadboard,38,70,90,,,OTOP,,,FALSE,,,,
156,mirror,Breadboard,37.5,72,45,,,OTOP,Broken,,FALSE,,,,
157,dump,Breadboard,37.5,72.1,45,,,OTOP,N/A,,FALSE,,,,
158,mirror,Breadboard,35,72,-45,,,OTOP,Clean,,TRUE,Works [KEEP],,,
159,mirror,Breadboard,38,75,-90,,,OTOP,Clean,,TRUE,Works [KEEP],,,
160,mirror,Breadboard,36,78,-45,,,OTOP,Clean,,TRUE,Works [KEEP],,,
161,lens,Breadboard,44.5,74,-90,,,OTOP,,,FALSE,,,,
162,telescope lens tube,Breadboard,41.5,76,0,,,OTOP,,,TRUE,Works [KEEP],,,
163,mirror,Breadboard,45.5,76,-135,,,OTOP,Clean,,TRUE,Works [KEEP],,,
164,mirror,Breadboard,44.5,78,45,,,OTOP,Clean,,TRUE,Works [KEEP],,,
165,PBS,Breadboard,41,78,90,,,OTOP,Clean,,TRUE,Works [KEEP],,,
166,waveplate,Breadboard,38,78,0,298,,OTOP,Broken,,TRUE,Works [KEEP],,,
167,large PBS,Breadboard,36,76,-90,,,OTOP,Clean,,TRUE,Works [KEEP],,,
168,mirror,Not in Diagram,,,,,,,,,FALSE,,,,
169,waveplate,Not in Diagram,,,,,,,Broken,,FALSE,,,,
170,lens,Not in Diagram,,,,,,,,,FALSE,,,,
171,mirror,Not in Diagram,,,,,,,,,FALSE,,,,
172,iris,Not in Diagram,,,,,,,Broken,,FALSE,,,,
173,lens,Not in Diagram,,,,,,,,,FALSE,,,,
174,lens,Not in Diagram,,,,,,,,,FALSE,,,,
175,lens,Not in Diagram,,,,,,,,,FALSE,,,,
176,50-50 beam splitter,Not in Diagram,,,,,,,,,FALSE,,,,
177,waveplate,Not in Diagram,,,,,,,Cleaning,,FALSE,,,,
178,lens,Not in Diagram,,,,,,,,,FALSE,,,,
179,lens,Not in Diagram,,,,,,,Cleaning,,FALSE,,,,
180,iris,Not in Diagram,,,,,,,Broken,,FALSE,,,,
181,PBS,Not in Diagram,,,,,,,Clean,,FALSE,,,,
182,PD,Not in Diagram,,,,,,,,,FALSE,,,,
183,PD,Not in Diagram,,,,,,,,,FALSE,,,,
184,lens,Breadboard,18.7,30.7,-135,,N/A,"Li Repump, Li MOT, Li EOM, Cs MOT, Cs H Imaging, Li H Imaging",,,FALSE,,,,
185,quadrant mirror,Breadboard,19.8,21.8,-112.5,,,"Li Repump, Li MOT",Broken,,FALSE,,,,
186,lens,Breadboard,22,22,-45,,N/A,"Li Repump, Li MOT, Cs MOT",,,FALSE,,,,
187,mount,Breadboard,13,34,60,,,,,,FALSE,,,,
188,small mirror,Breadboard,15.4,6.6,157.5,,852,"Cs V Optical Pump, RSC",Clean,,TRUE,Works [KEEP],,,
189,mirror,Breadboard,17,35.4,25,45 upward tilt,,BFL,Clean,,TRUE,Broken [REPLACE],knobs,,
190,mirror,Breadboard,17,36.6,-25,45 upward tilt,,BFL,Clean,,TRUE,Broken [REPLACE],knobs,,
191,empty,Table,,,,,,,Clean,,,,,,
192,waveplate,Table,15,13,90,245,852,"Cs V Optical Pump, RSC",Broken,,FALSE,,,,
193,waveplate,Table,15,14,90,270,852,"Cs V Optical Pump, RSC",Clean,,FALSE,,,,
194,waveplate,Not in Diagram,,,,,,,Broken,,FALSE,,,,
195,iris,Not in Diagram,,,,,,,Broken,,FALSE,,,,
196,mirror,Table,13,32,-135,,852,Cs MOT,Broken,,FALSE,,,,
197,waveplate,Table,13,14,90,285,852,Cs MOT,Clean,,FALSE,,,,
198,iris,Not in Diagram,,,,,,,Broken,,FALSE,,,,
199,lens,Table,13,25,-90,,852,Cs MOT,,,FALSE,,,,
200,mirror,Table,13,11.5,135,,,,N/A,,FALSE,,,,
201,waveplate,Not in Diagram,,,,,,,Clean,,FALSE,,,,
202,mirror,Table,11,19,135,,852,Cs V Imaging,Clean,,FALSE,,,,
203,Cs V Imaging laser,Table,4,19,0,,,,Broken,,FALSE,,,,
204,iris,Not in Diagram,,,,,,,Broken,,FALSE,,,,
205,waveplate,Table,7,19,0,290,852,Cs V Imaging,Clean,,FALSE,,,,
206,mirror,Table,11,37,-45,,852,"Cs MOT, Cs V Imaging",Broken,,FALSE,,,,
207,waveplate,Table,11,35,-90,291,852,"Cs MOT, Cs V Imaging",Clean,,FALSE,,,,
208,waveplate,Table,11,34,-90,228,852,"Cs MOT, Cs V Imaging",Clean-ish,,FALSE,,,,
209,PBS,Table,11,32,0,,852,"Cs MOT, Cs V Imaging",Clean,,FALSE,,,,
210,mirror,Table,17,32,-45,,671,"Li Repump, Li MOT",Clean,,FALSE,,,,
211,lens,Table,17,24.5,-90,,671,"Li Repump, Li MOT",,,FALSE,,,,
212,dichroic mirror,Table,19,37,-45,,N/A,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",Clean,,FALSE,,,,
213,empty,Table,,,,,,,Clean,,FALSE,,,,
214,mirror,Table,15,37.5,-45,,852,"Cs V Optical Pump, RSC",Clean,,FALSE,,,,
214.5,periscope mirror,Table,7,47,-90,45 upward tilt on mount,852,"Cs V Optical Pump, RSC",Clean,,FALSE,,,,
215,PBS,Table,19,32,0,,671,"Li Repump, Li MOT, Li V Imaging",Clean,,FALSE,,,,
216,waveplate,Table,19,34,90,172,671,"Li Repump, Li MOT, Li V Imaging",Clean,,FALSE,,,,
217,large mirror,Table,24,37,135,,671,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",Broken,,FALSE,,,,
218,lens,Table,13,16,90,,852,Cs MOT,Clean,,FALSE,,,,
219,mirror,Table,15,11,135,,852,Cs MOT,Clean,,FALSE,,,,
220,lens,Table,17,16,90,,671,"Li Repump, Li MOT",Clean,,FALSE,,,,
221,waveplate,Table,17,14,-90,258,671,"Li Repump, Li MOT",Cleaning,,FALSE,,,,
222,mirror,Table,17,10.5,135,,671,"Li Repump, Li MOT",Clean,,FALSE,,,,
223,mirror,Table,19,30,-45,,671,Li V Imaging,Clean,,FALSE,,,,
224,waveplate,Table,6,30,0,281,671,Li V Imaging,Clean,,FALSE,,,,
225,Li V Imaging laser,Table,4,30,0,,,,Broken,,FALSE,,,,
226,quadrant mirror,Table,11,9.5,0,,,,Clean,,FALSE,,,,
227,empty,Table,,,,,,,N/A,,FALSE,,,,
228,periscope mirror,Table,7,11,0,45 upward tilt on mount,N/A,"Li Repump, Cs MOT",Broken,,FALSE,,,,
229,iris,Not in Diagram,,,,,,,Broken,,FALSE,,,,
230,large mirror,Table,24,40,-45,,N/A,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",Broken,,FALSE,,,,
231,periscope mirror,Breadboard,2,43,0,45 downward tilt,852,"Cs V Optical Pump, RSC",Clean,,FALSE,,,,
232,lens,Breadboard,14,37.5,-12,,,,,,FALSE,,,,
250,periscope mirror,Breadboard,2,7,0,45 downward tilt towards optics table,N/A,"Li Repump, Cs MOT, RSC, Cs V Optical Pump",Broken,,FALSE,,,,
251,waveplate & polarizer in front of camera,Breadboard,30,42,-135,?,N/A,"Li MOT, Li Repump, Cs MOT, Cs V Optical Pump, RSC",,,FALSE,,,,
251.1,waveplate,Not in Diagram,,,,,,"Li Repump, Li MOT, Li EOM, Cs MOT, Cs H Imaging, Li H Imaging",Cleaning,,FALSE,,,,
251.2,lens in tube,Not in Diagram,,,,,,"Li Repump, Li MOT, Li EOM, Cs MOT, Cs H Imaging, Li H Imaging",Cleaning,,FALSE,,,,
251.3,lens,Not in Diagram,,,,,,"Li Repump, Li MOT, Li EOM, Cs MOT, Cs H Imaging, Li H Imaging",Cleaning,,FALSE,,,,
251.4,tube,Not in Diagram,,,,,,"Li Repump, Li MOT, Li EOM, Cs MOT, Cs H Imaging, Li H Imaging",N/A,,FALSE,,,,
